CUST_ID,ACC_NO,CUST_NAME,CUST_GENDER,CUST_CITY,CUST_STATE,CUST_DOB,CUST_EMAIL,CUST_CONTACTNO,CUST_PAN_ID,CUST_MARITALSTATUS,CUST_SALARY,CUST_NOMINEE,EMP_ALIAS
98000000,4233814356,Shruti Sharma,Female,Ahmedabad,Gujarat,34344,Shruti.Sharma1219@gmail.com,9290926510,YHNEP2134P,Single,39638,Mudita Manikkalingam,arjga
98000001,8153074807,Satbir Singh,Male,Amritsar,Punjab,36423,Satbir.Singh898@gmail.com,8097264379,SCAIM4935O,Married,68070,Manmohan Rengarajan,eemja
98000002,7044733721,Kanishk Sethi,Male,Surat,Gujarat,34743,Kanishk.Sethi216@gmail.com,9051607476,PMSWC2456S,Single,60938,Purnendu Pavan,namad
98000003,9571446558,Swati Shukla,Female,New Delhi,New Delhi,32786,Swati.Shukla12@gmail.com,8187690369,KPVND5312U,Married,42018,Aahlaad Naimesh,jyadva
98000004,9571496938,Haresh Ahir,Male,New Delhi,New Delhi,34498,Haresh.Ahir144@gmail.com,9039723404,ISACP7025R,Married,61200,Vipin Lankesh Vijayashree,eemja
98000005,4233188259,Ketan Sanghavi,Male,Ahmedabad,Gujarat,34192,Ketan.Sanghavi1487@gmail.com,7892749462,JZRPL6092C,Single,2696,Sunanda Vajpayee,namad
98000006,9571387283,Narendra Gurjar,Male,New Delhi,New Delhi,36313,Narendra.Gurjar1900@gmail.com,8527145694,PIMHD4195B,Married,18225,Rampratap Ghosal,rajshi
98000007,9571684595,Abhishek Shukla,Male,New Delhi,New Delhi,33610,Abhishek.Shukla293@gmail.com,7760339875,QEGSH8052G,Divorced,79653,Tanmay Shujauddin,pbaua
98000008,9571619617,Tanvi,Female,New Delhi,New Delhi,35124,Tanvi.1350@gmail.com,7456781898,SRFLO6871R,Single,27277,Ramashray Suryanarayana,pbaua
98000009,4233326586,Babli Bhatia,Female,Ahmedabad,Gujarat,32386,Babli.Bhatia685@gmail.com,7791319509,JQYIZ7428M,Married,12936,Archan Murugan,eemja
98000010,9571914672,Monika Kalia,Female,New Delhi,New Delhi,36433,Monika.Kalia820@gmail.com,8088443016,WUXFV1428X,Married,11743,Maanika Keskar,namad
98000011,9571857434,Ajay Kumar ,Male,New Delhi,New Delhi,33513,Ajay.Kumar 1885@gmail.com,8564687334,AFCYT4631T,Single,85245,Neeharika Vikriti,meema
98000012,9571325396,Parmesh,Male,New Delhi,New Delhi,33520,Parmesh.1044@gmail.com,8847484707,HPNWM3462N,Divorced,63041,Inayat Ramamuthe,rajshi
98000013,9571399121,Rajat,Male,New Delhi,New Delhi,35695,Rajat.1284@gmail.com,7399030948,TNKBO7106X,Divorced,43453,Vijaya Sandipan,jyadva
98000014,8370846082,Ashish Gaur,Male,Mumbai,Maharashtra,34383,Ashish.Gaur687@gmail.com,8733331463,CJWEG2031L,Single,49553,Maithili Nira,jyadva
98000015,4233379027,Anuj Kumar,Male,Ahmedabad,Gujarat,36160,Anuj.Kumar1387@gmail.com,8884974632,UVYOA7629I,Divorced,69443,Manda Virani,meema
98000016,9571891263,Lokesh Anand,Male,New Delhi,New Delhi,34206,Lokesh.Anand579@gmail.com,9261277479,FIABQ6428D,Divorced,86333,Jeeval Aruna Palam,mitcha
98000017,9571728539,Deepika,Female,New Delhi,New Delhi,32559,Deepika.13@gmail.com,8711705402,QILHF4374Q,Divorced,63156,Nandita Madhabi,mitcha
98000018,6597102929,Debashis Dey,Male,Chandigarh,Punjab,32434,Debashis.Dey300@gmail.com,8133662626,RSYNQ6420U,Married,55215,Anjali Mackherdhuj,rajshi
98000019,9571789272,Dheeraj Sawhney,Male,New Delhi,New Delhi,34292,Dheeraj.Sawhney317@gmail.com,8859580833,WURDL2187U,Single,70934,Bhakti Mamgain,meema
98000020,9571576515,Pankaj Gupta,Male,New Delhi,New Delhi,32756,Pankaj.Gupta557@gmail.com,9442073196,INMZD6309H,Divorced,47829,Sudhindra Marita,eemja
98000021,9571420849,Gagandeep Singh,Male,New Delhi,New Delhi,35039,Gagandeep.Singh433@gmail.com,8980833090,MSONF3704J,Single,31862,Abhichandra Tina,eemja
98000022,1761412539,Rohtash Brangla,Male,Gurugram,Haryana,34940,Rohtash.Brangla1046@gmail.com,9027188379,TEJSD9324U,Single,46134,Seemanta Manjari,pbaua
98000023,9571331788,Priyanka Kumar,Female,New Delhi,New Delhi,33962,Priyanka.Kumar295@gmail.com,7792737773,YVTMG1980A,Single,87892,Pranay Tumkur,vinit
98000024,9571935033,Raman Khurana,Male,New Delhi,New Delhi,33976,Raman.Khurana194@gmail.com,7903368023,VBHXO9403X,Single,50554,Hiranmay Dhruba,rajshi
98000025,5155852878,Rajesh Jain,Male,Noida,Uttar Pradesh,32770,Rajesh.Jain823@gmail.com,7448493120,EWNHY1908Y,Divorced,90104,Shravasti Toodi,urling
98000026,9571721200,Nitin Jain,Male,New Delhi,New Delhi,33318,Nitin.Jain1125@gmail.com,7280107649,CDWRU1475X,Single,76346,Jeevika Pritha,sadban
98000027,9571935351,Pratham Tyagi,Male,New Delhi,New Delhi,33063,Pratham.Tyagi1387@gmail.com,8025642488,LEAPK5283T,Married,72514,Samidha Ramasamy,namad
98000028,5908615994,Anthony Fernandiz,Male,Jaipur,Rajasthan,35240,Anthony.Fernandiz690@gmail.com,9172659646,BXVTK6291M,Married,59130,Kesari Upala Balakrishnan,pbaua
