CUST_ID,CUST_NAME,CUST_GENDER,CUST_CITY,CUST_STATE,CUST_EMAIL,CUST_CONTACTNO,CUST_PAN_ID,CUST_MARITALSTATUS,CUST_SALARY,CUST_NOMINEE,EMP_ALIAS,CUST_KYC
98000109,Sami Khan,Male,Kolkata,West Bengal,Sami.Khan76@gmail.com,7351709812,HTQLB4057R,Single,7796,rakesh,sadban,No
98000087,Pearl International,Male,Faridabad,Haryana,Pearl.International1457@gmail.com,7024185673,YMUGV2548E,Married,71949,aakash,sadban,No
98000066,Priyanka Rawat,Female,Faridabad,Haryana,Priyanka.Rawat349@gmail.com,7785975761,SHQGT2041X,Single,36993,Avidosa Vaisakhi,mitcha,Yes
98000116,Mohit Kulkarni,Male,Faridabad,Haryana,Mohit.Kulkarni957@gmail.com,7310450291,NYOIQ2076N,Single,48564,ravi parkash solanki,meema,Yes
98000142,Manoranjan Das,Male,Gurugram,Haryana,Manoranjan.Das1124@gmail.com,8052906620,WKVBE9205D,Single,1889,swami nathan,ajmee,Yes
98000112,Manjeet Kaur,Female,Gurugram,Faridabad,Manjeet.Kaur512@gmail.com,8951573231,HFZMN1928R,Single,99970,rahul sharma,ajmee,Yes
98000040,Neha Walia,Female,Gurugram,Haryana,Neha.Walia938@gmail.com,9350207267,RYNTO1470H,Divorced,47103,Suchitra Chudasama,sadban,No
98000022,Rohtash Brangla,Male,Gurugram,Haryana,Rohtash.Brangla1046@gmail.com,9027188379,TEJSD9324U,Single,46134,Seemanta Manjari,pbaua,No
98000113,Meenakshi,Female,Gurugram,Faridabad,Meenakshi.1585@gmail.com,8017008652,VPUXI3784Z,Married,68711,neeraj kishore,ajmee,Yes
98000057,Rameshwar Lal,Male,Gurugram,Haryana,Rameshwar.Lal807@gmail.com,9464396196,LITSJ9586X,Married,35750,Ibrahim Davuluri,sansoi,Yes
98000096,Virender Sharma,Male,Dehradun,Uttarakhand,Virender.Sharma940@gmail.com,9464426092,OPFLD2950E,Married,30986,pooran chand sharma,subje,Yes
98000117,Manish Sundriyal,Male,Nainital,Uttarakhand,Manish.Sundriyal1856@gmail.com,7358945935,FZDRM7840B,Married,77519,rohit kumar tiwari,mitcha,No
98000056,Mahesh,Male,Bhilai,Chhattisgarh,Mahesh.1796@gmail.com,8625477718,LJYNU3690G,Married,14288,Gangadhar Parnad Shruti,sansoi,Yes
98000058,Rajan Makhija,Male,Sriganganagar,Rajasthan,Rajan.Makhija477@gmail.com,8893974088,AQRDT6945Q,Divorced,71184,Titir Sethi,meema,Yes
98000035,Sonia Thakur,Female,Allahabad,Uttar Pradesh,Sonia.Thakur971@gmail.com,9270744785,DCBJN1693K,Divorced,41964,Musheer Subbarayudu,ravgh,Yes
98000036,Ashish,Male,Allahabad,Uttar Pradesh,Ashish.845@gmail.com,7374558073,UFBHL7632W,Married,11431,Jasraj Somatra,jyadva,No
98000076,Pradeep Saxena,Male,Jodhpur,Rajasthan,Pradeep.Saxena1562@gmail.com,7666291033,GNYDS3187R,Single,59311,Kalyanavata Veerender,meema,No
98000005,Ketan Sanghavi,Male,Ahmedabad,Gujarat,Ketan.Sanghavi1487@gmail.com,7892749462,JZRPL6092C,Single,2696,Sunanda Vajpayee,namad,Yes
98000098,Ranjeet Barnwal,Male,Ahmedabad,Gujarat,Ranjeet.Barnwal729@gmail.com,7417436123,YZABL6528Q,Single,77986,sanjay charee,arjga,No
98000009,Babli Bhatia,Female,Ahmedabad,Gujarat,Babli.Bhatia685@gmail.com,7791319509,JQYIZ7428M,Married,12936,Archan Murugan,eemja,Yes
98000015,Anuj Kumar,Male,Ahmedabad,Gujarat,Anuj.Kumar1387@gmail.com,8884974632,UVYOA7629I,Divorced,69443,Manda Virani,meema,Yes
98000137,Tanwir,Male,Ahmedabad,Gujarat,Tanwir.1405@gmail.com,9694174107,TUKGQ9607O,Married,14945,viney parkash,subje,Yes
98000000,Shruti Sharma,Female,Ahmedabad,Gujarat,Shruti.Sharma1219@gmail.com,9290926510,YHNEP2134P,Single,39638,Mudita Manikkalingam,arjga,Yes
98000125,Sandeep Jain,Male,Noida,Uttar Pradesh,Sandeep.Jain757@gmail.com,7733470130,MJPDH8542Y,Married,79622,masoom,subje,Yes
98000031,Sumit,Male,Noida,Uttar Pradesh,Sumit.68@gmail.com,9593755408,VAXFL3842R,Married,71482,Shaheen Venkatadri,pbaua,No
98000025,Rajesh Jain,Male,Noida,Uttar Pradesh,Rajesh.Jain823@gmail.com,7448493120,EWNHY1908Y,Divorced,90104,Shravasti Toodi,urling,Yes
98000090,Avdesh Sharma,Male,Jaipur,Rajasthan,Avdesh.Sharma564@gmail.com,8507471646,XFHVS3964A,Married,56672,supriyal sen,urling,Yes
98000028,Anthony Fernandiz,Male,Jaipur,Rajasthan,Anthony.Fernandiz690@gmail.com,9172659646,BXVTK6291M,Married,59130,Kesari Upala Balakrishnan,pbaua,Yes
98000114,Jagdeep Patel,Male,Jaipur,Rajasthan,Jagdeep.Patel368@gmail.com,7924131705,HPOGB2901H,Divorced,54056,ishwar,sansoi,No
98000054,Nishant Shaleen,Male,Lucknow,Uttar Pradesh,Nishant.Shaleen1135@gmail.com,8139961331,RUGOF4795O,Married,62152,Shrilata Ghoshdashtidar,ravgh,Yes
