CUST_ID,CUST_NAME,CUST_GENDER,CUST_ADDRESS,CUST_CITY,CUST_STATE,CUST_DOB,CUST_EMAIL,CUST_CONTACTNO,CUST_PAN_ID,CUST_MARITALSTATUS,CUST_SALARY,CUST_NOMINEE,EMP_ALIAS,CUST_AADHAAR_NO,CUST_KYC
98000109,Sami Khan,Male,"19/6 Sahapur Colony Block-J, New Alipore kolkata-700053",Kolkata,West Bengal,1990-10-16,Sami.Khan76@gmail.com,7351709812,HTQLB4057R,Single,7796,rakesh,sadban,,No
98000087,Pearl International,Male,"165 P, Sector 17,Market, Faridabad (Haryana)",Faridabad,Haryana,1996-10-11,Pearl.International1457@gmail.com,7024185673,YMUGV2548E,Married,71949,aakash,sadban,,No
98000066,Priyanka Rawat,Female,"140/6 Brahman Wara, Ballabgarh, Faridabad, Haryana 121004",Faridabad,Haryana,1993-01-06,Priyanka.Rawat349@gmail.com,7785975761,SHQGT2041X,Single,36993,Avidosa Vaisakhi,mitcha,872010193811,Yes
98000116,Mohit Kulkarni,Male,"1C- 102, NIT, Faridabad, Haryana",Faridabad,Haryana,1999-11-17,Mohit.Kulkarni957@gmail.com,7310450291,NYOIQ2076N,Single,48564,ravi parkash solanki,meema,699434308104,Yes
98000142,Manoranjan Das,Male,"202, Bestech Chambers, B Block, Sushant Lok-1, Gurgaon",Gurugram,Haryana,1992-02-04,Manoranjan.Das1124@gmail.com,8052906620,WKVBE9205D,Single,1889,swami nathan,ajmee,599136531759,Yes
98000112,Manjeet Kaur,Female,"19th Floor, Tower, DLF Cyber Terraces DLF Cyber City, Phase-3, Gurgaon-122002",Gurugram,Faridabad,1994-11-23,Manjeet.Kaur512@gmail.com,8951573231,HFZMN1928R,Single,99970,rahul sharma,ajmee,672344860805,Yes
98000040,Neha Walia,Female,121 First Floor | Suncity Arcade | Suncity Sec 54 | Gurgaon 122002 |Haryana,Gurugram,Haryana,1995-10-13,Neha.Walia938@gmail.com,9350207267,RYNTO1470H,Divorced,47103,Suchitra Chudasama,sadban,,No
98000022,Rohtash Brangla,Male,"111,South City Arcade, South City-1, Gurgaon-122001",Gurugram,Haryana,1995-08-29,Rohtash.Brangla1046@gmail.com,9027188379,TEJSD9324U,Single,46134,Seemanta Manjari,pbaua,,No
98000113,Meenakshi,Female,"19th Floor, Tower A, Building No. 5 | DLF Cyber Terraces, DLF Cyber City | Phase 3 | Gurgaon 122002, Haryana, India",Gurugram,Faridabad,1990-10-30,Meenakshi.1585@gmail.com,8017008652,VPUXI3784Z,Married,68711,neeraj kishore,ajmee,547827642690,Yes
98000057,Rameshwar Lal,Male,"298,LGF, Near Rose Appartments, Sector 28, Gurgaon",Gurugram,Haryana,1995-12-18,Rameshwar.Lal807@gmail.com,9464396196,LITSJ9586X,Married,35750,Ibrahim Davuluri,sansoi,763822424506,Yes
98000096,Virender Sharma,Male,"175 Saharanpur Road, Patel Nagar Near Bank Of Baroda , Dehradun",Dehradun,Uttarakhand,1999-07-08,Virender.Sharma940@gmail.com,9464426092,OPFLD2950E,Married,30986,pooran chand sharma,subje,609101448507,Yes
98000117,Manish Sundriyal,Male,"1st floor, Above Uphar Kendra, Bajaja Line, Ramnagar, Dist. Nainital",Nainital,Uttarakhand,1992-09-21,Manish.Sundriyal1856@gmail.com,7358945935,FZDRM7840B,Married,77519,rohit kumar tiwari,mitcha,,No
98000056,Mahesh,Male,"13, Civic Centre Bhilai Chhattisgarh India",Bhilai,Chhattisgarh,1992-02-21,Mahesh.1796@gmail.com,8625477718,LJYNU3690G,Married,14288,Gangadhar Parnad Shruti,sansoi,856936374721,Yes
98000058,Rajan Makhija,Male,"13-14 C Public Park,Gole Bazar,Sriganganagar,Rajasthan",Sriganganagar,Rajasthan,1988-12-22,Rajan.Makhija477@gmail.com,8893974088,AQRDT6945Q,Divorced,71184,Titir Sethi,meema,612633964048,Yes
98000035,Sonia Thakur,Female,"11D / 1  Bank Road, Katra,Allahabad (U.P.) - 211002",Allahabad,Uttar Pradesh,1998-02-17,Sonia.Thakur971@gmail.com,9270744785,DCBJN1693K,Divorced,41964,Musheer Subbarayudu,ravgh,749462920861,Yes
98000036,Ashish,Male,"11D/1, Bank Orad, Katra, Allahabad-211002",Allahabad,Uttar Pradesh,1995-01-26,Ashish.845@gmail.com,7374558073,UFBHL7632W,Married,11431,Jasraj Somatra,jyadva,,No
98000076,Pradeep Saxena,Male,"15/3, shiv shaktu nagar, airforce station, jodhpur",Jodhpur,Rajasthan,1993-12-30,Pradeep.Saxena1562@gmail.com,7666291033,GNYDS3187R,Single,59311,Kalyanavata Veerender,meema,,No
98000005,Ketan Sanghavi,Male,"105/106 & 201/202, Gala Business Centre-1 Off. C.G. Road, Ahmedabad-380009",Ahmedabad,Gujarat,1993-08-11,Ketan.Sanghavi1487@gmail.com,7892749462,JZRPL6092C,Single,2696,Sunanda Vajpayee,namad,850435673098,Yes
98000098,Ranjeet Barnwal,Male,"176, First Floor, Chinu Bhai Tower, Near H.K. College, Ashram Road, Ahmedabad",Ahmedabad,Gujarat,1989-11-10,Ranjeet.Barnwal729@gmail.com,7417436123,YZABL6528Q,Single,77986,sanjay charee,arjga,,No
98000009,Babli Bhatia,Female,"106, Pinnacle Business Park, Corporate Road Prahladnagar, Ahmedabad-380015",Ahmedabad,Gujarat,1988-08-31,Babli.Bhatia685@gmail.com,7791319509,JQYIZ7428M,Married,12936,Archan Murugan,eemja,609812618156,Yes
98000015,Anuj Kumar,Male,"11, Parekhvas, B/h. Ambaji Mata Temple, Vejalpur Village, Ahmedabad-380051",Ahmedabad,Gujarat,1998-12-31,Anuj.Kumar1387@gmail.com,8884974632,UVYOA7629I,Divorced,69443,Manda Virani,meema,949677747969,Yes
98000137,Tanwir,Male,"201-202, 2nd Floor, Abhijeet-4 Navrangpura, Ahmedabad-380006",Ahmedabad,Gujarat,1990-10-11,Tanwir.1405@gmail.com,9694174107,TUKGQ9607O,Married,14945,viney parkash,subje,625638280763,Yes
98000000,Shruti Sharma,Female,"104, IsconAvenue, Opp. Choice Restaurant Nr. Swastik Char Rasta, C.G. Road, Ahmedabad-380009",Ahmedabad,Gujarat,1994-01-10,Shruti.Sharma1219@gmail.com,9290926510,YHNEP2134P,Single,39638,Mudita Manikkalingam,arjga,812175436920,Yes
98000125,Sandeep Jain,Male,"2, Danbro House, F-22, Sector 18 Noida",Noida,Uttar Pradesh,1988-05-26,Sandeep.Jain757@gmail.com,7733470130,MJPDH8542Y,Married,79622,masoom,subje,978077320389,Yes
98000031,Sumit,Male,"116, Ansal Fortune arcade, Sector 18, Noida",Noida,Uttar Pradesh,1998-12-28,Sumit.68@gmail.com,9593755408,VAXFL3842R,Married,71482,Shaheen Venkatadri,pbaua,,No
98000025,Rajesh Jain,Male,"112, Chokhani Square, Plot No 4, Sector 18 Noida",Noida,Uttar Pradesh,1989-09-19,Rajesh.Jain823@gmail.com,7448493120,EWNHY1908Y,Divorced,90104,Shravasti Toodi,urling,900052599142,Yes
98000090,Avdesh Sharma,Male,"167-168, Laxman Colony, Laxman Path, Shyam Nagar, Jaipur",Jaipur,Rajasthan,1998-12-23,Avdesh.Sharma564@gmail.com,8507471646,XFHVS3964A,Married,56672,supriyal sen,urling,563230513162,Yes
